Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
POLICYBZR.NS,1292.1,2024/05/02,15:30 IST,27.199951,1264.95,1318.0,1255.45,2022979,,,,,,,
PAYTM.NS,372.2,2024/05/02,15:30 IST,-0.19998169,372.55,386.0,366.55,2040998,,,,,,,
POND-USD,0.01886487,2024/05/02,15:45 UTC,0.0011260621,0.018297315,0.018903678,0.017821515,3997309,,,,,,,
INST-USD,2.0950077,2024/05/02,15:46 UTC,0.008199453,2.088014,2.1018863,2.0667384,48732,,,,,,,
CRV-EUR,0.39903423,2024/05/02,15:49 UTC,0.020830035,0.39086327,0.39903423,0.38135633,34507956,,,,,,,
MKR-EUR,2579.3667,2024/05/02,15:49 UTC,129.7544,2541.0132,2582.2683,2481.4868,69184416,,,,,,,
BAL-EUR,3.317018,2024/05/02,15:49 UTC,0.14572525,3.273181,3.317018,3.207181,8603160,,,,,,,
MATIC-EUR,0.6666359,2024/05/02,15:49 UTC,0.040967703,0.6453291,0.6711972,0.63014627,287181152,,,,,,,
COMP5692-EUR,53.178463,2024/05/02,15:49 UTC,4.454685,51.920944,53.30201,50.288254,30120712,,,,,,,
YFI-EUR,6361.6934,2024/05/02,15:49 UTC,262.22168,6364.7925,6391.3394,6225.716,19323412,,,,,,,
UNI7083-EUR,6.7300067,2024/05/02,15:49 UTC,0.38221216,6.567499,6.7300067,6.410396,127805808,,,,,,,
SNX-EUR,2.4819875,2024/05/02,15:49 UTC,0.11818552,2.474839,2.4887586,2.3981016,30159220,,,,,,,
N26NB.NX,4.37,2024/04/12,18:30 CEST,-0.41000032,4.93,4.93,4.37,459,,,,,,,
SOFI,6.955,2024/05/02,11:51 EDT,0.034999847,7.03,7.11,6.8603,19747870,,,,,,,
HOOD,17.075,2024/05/02,11:51 EDT,0.42500114,16.93,17.17,16.76,2548970,,,,,,,
AAVE-EUR,79.61121,2024/05/02,15:49 UTC,4.911377,78.13978,79.68396,75.88508,81355504,,,,,,,
COIN,221.97,2024/05/02,11:51 EDT,11.880005,216.48,223.63,210.76,4593593,,,,,,,